"Work Item Type,Title,Priority"
"T242,Retest,Critical"
"T359,Retest,Critical"
"T18472,Retest,Critical"
"T18473,Retest,Critical"
"T16258,Failed,Critical"
"T933,Retest,Critical"
"T16357,Retest,Critical"
"T17242,Retest,Critical"
"T18531,Blocked,Critical"
"T18532,Blocked,Critical"
"T16295,In Progress,Critical"
"T17444,Untested,High"
"T17361,Retest,High"
"T16413,Blocked,High"
"T15639,Deferred,High"
"T18900,Failed,High"
"T15399,Failed,High"
"T10064,Failed,High"
"T13553,Failed,High"
"T13822,Failed,High"
"T15486,Failed,High"
"T15487,Failed,High"
"T17840,Failed,High"
"T17859,Failed,High"
"T17862,Failed,High"
"T17755,Failed,High"
"T17939,Failed,High"
"T18017,Failed,High"
"T18073,Failed,High"
"T18074,Failed,High"
"T330,Failed,High"
"T934,Retest,High"
"T506,Failed,High"
"T16355,Retest,High"
"T15561,Retest,High"
"T15569,Retest,High"
"T14949,Retest,High"
"T14954,Failed,High"
"T15640,Deferred,Medium"
"T15641,Deferred,Medium"
"T15642,Deferred,Medium"
"T15643,Deferred,Medium"
"T15644,Deferred,Medium"
"T17379,Untested,Medium"
"T15437,Blocked - Reports Unavailable,Medium"
"T15439,Blocked - Reports Unavailable,Medium"
"T15736,Blocked - Reports Unavailable,Medium"
"T9751,Ready to Test,Medium"
"T9752,Ready to Test,Medium"
"T9755,Retest,Medium"
"T9756,Retest,Medium"
"T9759,Retest,Medium"
"T16034,Failed,Medium"
"T16035,Failed,Medium"
"T16328,Failed,Medium"
"T18808,In Progress,Medium"
"T15649,Failed,Medium"
"T15650,Failed,Medium"
"T15651,Failed,Medium"
"T15652,Failed,Medium"
"T15653,In Progress,Medium"
"T16032,Failed,Medium"
"T16033,Failed,Medium"
"T16037,Failed,Medium"
"T16043,Retest,Medium"
"T15394,Failed,Medium"
"T15396,In Progress,Medium"
"T16319,Failed,Medium"
"T18522,In Progress,Medium"
"T18523,In Progress,Medium"
"T18804,Blocked - Reports Unavailable,Medium"
"T15735,Failed,Medium"
"T13908,Retest,Medium"
"T13912,Retest,Medium"
"T13929,Retest,Medium"
"T13930,In Progress,Medium"
"T13914,Retest,Medium"
"T13916,Retest,Medium"
"T13922,Retest,Medium"
"T13923,Retest,Medium"
"T13931,Retest,Medium"
"T18869,Untested,Medium"
"T13953,Retest,Medium"
"T13954,Retest,Medium"
"T13963,In Progress,Medium"
"T18486,Untested,Medium"
"T18805,Blocked - Reports Unavailable,Medium"
"T16994,Failed,Medium"
"T16995,Failed,Medium"
"T17049,Failed,Medium"
"T18778,Blocked - Reports Unavailable,Medium"
"T18779,Blocked - Reports Unavailable,Medium"
"T18780,Blocked - Reports Unavailable,Medium"
"T18781,Blocked - Reports Unavailable,Medium"
"T17064,Failed,Medium"
"T17065,Failed,Medium"
"T17067,Failed,Medium"
"T17068,Failed,Medium"
"T17069,Failed,Medium"
"T17070,In Progress,Medium"
"T18525,Blocked - Reports Unavailable,Medium"
"T18526,Failed,Medium"
"T17111,Retest,Medium"
"T17112,Retest,Medium"
"T17079,Deferred,Medium"
"T17083,Blocked - Reports Unavailable,Medium"
"T17085,Retest,Medium"
"T17086,Retest,Medium"
"T17090,Retest,Medium"
"T17115,Retest,Medium"
"T18528,Report Ready for Review,Medium"
"T18529,Report Ready for Review,Medium"
"T18530,Report Ready for Review,Medium"
"T17143,Blocked,Medium"
"T17147,Blocked,Medium"
"T17151,Retest,Medium"
"T17161,Retest,Medium"
"T17162,Retest,Medium"
"T17164,Retest,Medium"
"T17165,Retest,Medium"
"T17166,Retest,Medium"
"T17167,Retest,Medium"
"T17168,Retest,Medium"
"T17173,Retest,Medium"
"T18374,Blocked,Medium"
"T18485,Untested,Medium"
"T17142,Blocked,Medium"
"T17146,Blocked,Medium"
"T15448,Retest,Medium"
"T15449,Retest,Medium"
"T15455,Retest,Medium"
"T15456,Retest,Medium"
"T15457,Retest,Medium"
"T15458,Retest,Medium"
"T15459,Retest,Medium"
"T15460,Retest,Medium"
"T15462,Retest,Medium"
"T15471,Retest,Medium"
"T15473,Retest,Medium"
"T15475,Retest,Medium"
"T15478,Retest,Medium"
"T18753,Untested,Medium"
"T18754,Untested,Medium"
"T18755,Untested,Medium"
"T18756,Untested,Medium"
"T18757,Untested,Medium"
"T18758,Untested,Medium"
"T18759,Untested,Medium"
"T18760,Untested,Medium"
"T18761,Untested,Medium"
"T15637,Report Ready for Review,Medium"
"T15253,Blocked - Reports Unavailable,Medium"
"T15254,Blocked - Reports Unavailable,Medium"
"T15257,Report Ready for Review,Medium"
"T15258,Report Ready for Review,Medium"
"T15441,Blocked - Reports Unavailable,Medium"
"T18785,Untested,Medium"
"T18786,Failed,Medium"
"T18787,Untested,Medium"
"T18788,Untested,Medium"
"T18789,Untested,Medium"
"T18790,Untested,Medium"
"T18791,Untested,Medium"
"T18792,Untested,Medium"
"T16561,Blocked - Reports Unavailable,Medium"
"T16562,Blocked - Reports Unavailable,Medium"
"T16563,Blocked - Reports Unavailable,Medium"
"T16564,Blocked - Reports Unavailable,Medium"
"T16565,In Progress,Medium"
"T18858,Report Ready for Review,Medium"
"T16591,In Progress,Medium"
"T16596,Blocked,Medium"
"T16600,Blocked,Medium"
"T16602,Blocked,Medium"
"T16617,Failed,Medium"
"T16618,Failed,Medium"
"T16628,Retest,Medium"
"T16629,Retest,Medium"
"T16632,Failed,Medium"
"T16771,Blocked,Medium"
"T16788,Failed,Medium"
"T16794,Blocked,Medium"
"T16801,Failed,Medium"
"T16834,Blocked,Medium"
"T16835,Blocked,Medium"
"T16836,Blocked,Medium"
"T16837,Retest,Medium"
"T16838,Retest,Medium"
"T16841,Failed,Medium"
"T18390,Failed,Medium"
"T18391,Failed,Medium"
"T18406,Untested,Medium"
"T18407,Untested,Medium"
"T18408,Untested,Medium"
"T18409,Untested,Medium"
"T18410,Untested,Medium"
"T18411,Untested,Medium"
"T18412,Untested,Medium"
"T16842,In Progress,Medium"
"T18438,Blocked - Reports Unavailable,Medium"
"T18442,Blocked - Reports Unavailable,Medium"
"T18445,Blocked - Reports Unavailable,Medium"
"T18446,Blocked - Reports Unavailable,Medium"
"T18453,Untested,Medium"
"T18454,Untested,Medium"
"T18768,Untested,Medium"
"T18769,Untested,Medium"
"T18478,Untested,Medium"
"T18479,Untested,Medium"
"T18480,Untested,Medium"
"T18481,Untested,Medium"
"T18482,Untested,Medium"
"T18487,Untested,Medium"
"T18488,Untested,Medium"
"T18489,Untested,Medium"
"T18490,Untested,Medium"
"T18491,Untested,Medium"
"T18492,Untested,Medium"
"T18493,Untested,Medium"
"T18494,Untested,Medium"
"T18511,Untested,Medium"
"T18512,Untested,Medium"
"T18513,Untested,Medium"
"T18514,Untested,Medium"
"T18502,Untested,Medium"
"T18503,Untested,Medium"
"T18504,Untested,Medium"
"T18505,Untested,Medium"
"T18506,Untested,Medium"
"T18507,Untested,Medium"
"T18508,Untested,Medium"
"T18509,Untested,Medium"
"T18510,Untested,Medium"
"T18800,Untested,Medium"
"T18801,Untested,Medium"
"T9423,Retest,Medium"
"T9424,Failed,Medium"
"T9433,Retest,Medium"
"T9434,Retest,Medium"
"T10068,Retest,Medium"
"T10073,Retest,Medium"
"T13551,Retest,Medium"
"T15480,Retest,Medium"
"T15481,Retest,Medium"
"T18533,In Progress,Medium"
"T10075,Retest,Medium"
"T10076,Retest,Medium"
"T15345,In Progress,Medium"
"T15347,In Progress,Medium"
"T15350,In Progress,Medium"
"T18771,Blocked - Reports Unavailable,Medium"
"T18772,Blocked - Reports Unavailable,Medium"
"T18773,Blocked - Reports Unavailable,Medium"
"T18774,Blocked - Reports Unavailable,Medium"
"T17842,Failed,Medium"
"T17843,Failed,Medium"
"T17844,Failed,Medium"
"T17847,Failed,Medium"
"T17850,Failed,Medium"
"T17851,Failed,Medium"
"T17854,Failed,Medium"
"T17857,Failed,Medium"
"T17866,Failed,Medium"
"T17867,Blocked,Medium"
"T17869,Deferred,Medium"
"T17735,Deferred,Medium"
"T17736,Deferred,Medium"
"T17737,Deferred,Medium"
"T17740,Deferred,Medium"
"T17741,Deferred,Medium"
"T17742,Deferred,Medium"
"T17743,Deferred,Medium"
"T17744,Deferred,Medium"
"T17746,Failed,Medium"
"T17747,Failed,Medium"
"T17748,Failed,Medium"
"T17750,Failed,Medium"
"T17751,Failed,Medium"
"T17754,Failed,Medium"
"T17758,Failed,Medium"
"T17760,Failed,Medium"
"T17761,Failed,Medium"
"T17763,Failed,Medium"
"T17765,Failed,Medium"
"T17766,Failed,Medium"
"T17768,Failed,Medium"
"T17871,Failed,Medium"
"T17830,Blocked,Medium"
"T17872,Deferred,Medium"
"T17873,Deferred,Medium"
"T17876,Failed,Medium"
"T17877,Failed,Medium"
"T17929,Failed,Medium"
"T17932,Failed,Medium"
"T17934,Failed,Medium"
"T17935,Failed,Medium"
"T17936,Failed,Medium"
"T17938,Failed,Medium"
"T17942,Failed,Medium"
"T17943,Failed,Medium"
"T17946,Failed,Medium"
"T17951,Failed,Medium"
"T17954,Failed,Medium"
"T17957,Failed,Medium"
"T17958,Failed,Medium"
"T17959,Untested,Medium"
"T17996,Deferred,Medium"
"T17997,Deferred,Medium"
"T17998,Deferred,Medium"
"T17999,Deferred,Medium"
"T18002,Deferred,Medium"
"T18003,Deferred,Medium"
"T18004,Deferred,Medium"
"T18005,Deferred,Medium"
"T18006,Deferred,Medium"
"T18007,Failed,Medium"
"T18009,Failed,Medium"
"T18010,Failed,Medium"
"T18011,Failed,Medium"
"T18013,Failed,Medium"
"T18014,Failed,Medium"
"T18018,Failed,Medium"
"T18021,Failed,Medium"
"T18026,Failed,Medium"
"T18029,Failed,Medium"
"T18031,Failed,Medium"
"T18072,Failed,Medium"
"T18077,Failed,Medium"
"T18083,Failed,Medium"
"T18084,Failed,Medium"
"T18085,Failed,Medium"
"T18088,Failed,Medium"
"T18089,Failed,Medium"
"T18090,Failed,Medium"
"T18091,Failed,Medium"
"T18092,Failed,Medium"
"T18093,Failed,Medium"
"T18094,Retest,Medium"
"T18095,Retest,Medium"
"T18096,Retest,Medium"
"T18100,Retest,Medium"
"T18101,Retest,Medium"
"T18102,Retest,Medium"
"T18103,Retest,Medium"
"T18104,Retest,Medium"
"T18128,Failed,Medium"
"T18129,Failed,Medium"
"T18130,Failed,Medium"
"T18133,Failed,Medium"
"T18134,Failed,Medium"
"T18135,Failed,Medium"
"T18137,Failed,Medium"
"T18139,Retest,Medium"
"T18140,Retest,Medium"
"T18141,Retest,Medium"
"T18142,Failed,Medium"
"T18143,Failed,Medium"
"T18144,Failed,Medium"
"T18147,Failed,Medium"
"T18148,Failed,Medium"
"T18149,Failed,Medium"
"T18150,Failed,Medium"
"T18151,Failed,Medium"
"T18152,Failed,Medium"
"T18153,Retest,Medium"
"T18154,Failed,Medium"
"T18159,Failed,Medium"
"T18199,Failed,Medium"
"T18201,Failed,Medium"
"T18202,Failed,Medium"
"T18203,Failed,Medium"
"T18205,Failed,Medium"
"T18206,Failed,Medium"
"T18209,Failed,Medium"
"T18210,Failed,Medium"
"T18213,Failed,Medium"
"T18214,Failed,Medium"
"T18215,Failed,Medium"
"T18216,Failed,Medium"
"T18218,Failed,Medium"
"T18221,Failed,Medium"
"T18224,Failed,Medium"
"T18226,Untested,Medium"
"T18806,Blocked,Medium"
"T18227,Untested,Medium"
"T18228,Untested,Medium"
"T18229,Untested,Medium"
"T18230,Untested,Medium"
"T18231,Retest,Medium"
"T18232,Untested,Medium"
"T18233,Retest,Medium"
"T18234,Failed,Medium"
"T18236,Failed,Medium"
"T18239,Failed,Medium"
"T18240,Failed,Medium"
"T18241,Failed,Medium"
"T18242,Failed,Medium"
"T18243,Failed,Medium"
"T18244,Failed,Medium"
"T18245,Failed,Medium"
"T18247,Failed,Medium"
"T18250,Failed,Medium"
"T18251,Failed,Medium"
"T18252,Failed,Medium"
"T18255,Failed,Medium"
"T18289,Failed,Medium"
"T18290,Failed,Medium"
"T18291,Failed,Medium"
"T18294,Failed,Medium"
"T18295,Failed,Medium"
"T18297,Failed,Medium"
"T18299,Failed,Medium"
"T18300,Failed,Medium"
"T18256,Failed,Medium"
"T18257,Failed,Medium"
"T18261,Failed,Medium"
"T18264,Failed,Medium"
"T18339,Untested,Medium"
"T18342,Untested,Medium"
"T18363,Failed,Medium"
"T18364,Failed,Medium"
"T18366,Failed,Medium"
"T18356,Blocked - Reports Unavailable,Medium"
"T18357,Blocked - Reports Unavailable,Medium"
"T18358,Blocked - Reports Unavailable,Medium"
"T18359,Failed,Medium"
"T17272,Retest,Medium"
"T17289,Retest,Medium"
"T18463,Retest,Medium"
"T18464,Failed,Medium"
"T18465,Failed,Medium"
"T18466,Retest,Medium"
"T17274,Blocked,Medium"
"T17268,Blocked,Medium"
"T17276,Blocked,Medium"
"T17284,Blocked,Medium"
"T18467,Blocked,Medium"
"T18468,Blocked,Medium"
"T18469,Blocked,Medium"
"T18470,Blocked,Medium"
"T17255,Retest,Medium"
"T17256,Retest,Medium"
"T18474,Retest,Medium"
"T18475,Retest,Medium"
"T342,Retest,Medium"
"T246,Retest,Medium"
"T314,Retest,Medium"
"T332,Retest,Medium"
"T345,Retest,Medium"
"T244,Retest,Medium"
"T305,Retest,Medium"
"T325,Retest,Medium"
"T343,Retest,Medium"
"T337,Failed,Medium"
"T364,Blocked,Medium"
"T365,Blocked,Medium"
"T15489,Blocked,Medium"
"T15491,Blocked,Medium"
"T17369,Failed,Medium"
"T355,Retest,Medium"
"T18870,Failed,Medium"
"T18874,Failed,Medium"
"T18875,Failed,Medium"
"T15307,Retest,Medium"
"T15308,Retest,Medium"
"T15309,Failed,Medium"
"T15734,Blocked - Reports Unavailable,Medium"
"T309,Failed,Medium"
"T17349,Retest,Medium"
"T17353,Blocked,Medium"
"T606,Failed,Medium"
"T16045,Failed,Medium"
"T17247,Retest,Medium"
"T17248,Retest,Medium"
"T17251,Blocked,Medium"
"T932,Blocked,Medium"
"T935,Blocked,Medium"
"T485,Failed,Medium"
"T488,Failed,Medium"
"T490,Deferred,Medium"
"T492,Failed,Medium"
"T499,Failed,Medium"
"T503,Failed,Medium"
"T507,Failed,Medium"
"T508,Failed,Medium"
"T511,Failed,Medium"
"T512,In Progress,Medium"
"T513,In Progress,Medium"
"T515,Failed,Medium"
"T517,In Progress,Medium"
"T518,Failed,Medium"
"T519,Failed,Medium"
"T523,Failed,Medium"
"T525,Failed,Medium"
"T527,Failed,Medium"
"T1009,In Progress,Medium"
"T9742,Failed,Medium"
"T9744,Failed,Medium"
"T18868,Failed,Medium"
"T15445,Failed,Medium"
"T15317,Retest,Medium"
"T15318,Failed,Medium"
"T18521,Failed,Medium"
"T18803,Blocked - Reports Unavailable,Medium"
"T15732,Retest,Medium"
"T15733,Retest,Medium"
"T16358,Retest,Medium"
"T16367,Retest,Medium"
"T16387,Retest,Medium"
"T16362,Retest,Medium"
"T16378,Retest,Medium"
"T16380,Retest,Medium"
"T16385,Retest,Medium"
"T16389,Retest,Medium"
"T16390,Retest,Medium"
"T16381,Blocked - Reports Unavailable,Medium"
"T16382,Blocked - Reports Unavailable,Medium"
"T16383,Ready to Test,Medium"
"T16384,Blocked - Reports Unavailable,Medium"
"T16366,Retest,Medium"
"T18722,Failed,Medium"
"T16412,Blocked,Medium"
"T16422,Failed,Medium"
"T16423,Retest,Medium"
"T16441,Failed,Medium"
"T17246,Failed,Medium"
"T18881,Failed,Medium"
"T16433,Failed,Medium"
"T16431,Failed,Medium"
"T18884,Failed,Medium"
"T18885,Failed,Medium"
"T18879,Failed,Medium"
"T15499,Retest,Medium"
"T15500,Retest,Medium"
"T15501,Retest,Medium"
"T15503,Retest,Medium"
"T15505,Retest,Medium"
"T15506,Retest,Medium"
"T15507,Retest,Medium"
"T15509,Failed,Medium"
"T15510,Retest,Medium"
"T15511,Retest,Medium"
"T15513,Retest,Medium"
"T15515,Retest,Medium"
"T15519,Retest,Medium"
"T15520,Retest,Medium"
"T15522,Retest,Medium"
"T15523,Retest,Medium"
"T15524,Retest,Medium"
"T15525,Retest,Medium"
"T15527,Retest,Medium"
"T15529,Retest,Medium"
"T15530,Retest,Medium"
"T15531,Retest,Medium"
"T15532,Retest,Medium"
"T15533,Retest,Medium"
"T15534,Retest,Medium"
"T15535,Retest,Medium"
"T15538,Retest,Medium"
"T15545,Retest,Medium"
"T15546,Retest,Medium"
"T15550,Retest,Medium"
"T15551,Retest,Medium"
"T15552,Retest,Medium"
"T15553,Retest,Medium"
"T15554,Retest,Medium"
"T15555,Retest,Medium"
"T15556,Retest,Medium"
"T15557,Retest,Medium"
"T15558,Retest,Medium"
"T15559,Retest,Medium"
"T15560,Retest,Medium"
"T15562,Retest,Medium"
"T15563,Retest,Medium"
"T15565,Retest,Medium"
"T15566,Retest,Medium"
"T15567,Retest,Medium"
"T15568,Retest,Medium"
"T15570,Retest,Medium"
"T15571,Retest,Medium"
"T15572,Retest,Medium"
"T15573,Retest,Medium"
"T16300,Retest,Medium"
"T16301,Retest,Medium"
"T16302,Retest,Medium"
"T16303,Retest,Medium"
"T16304,Retest,Medium"
"T16305,Retest,Medium"
"T16307,Retest,Medium"
"T16308,Retest,Medium"
"T16309,Retest,Medium"
"T16344,Retest,Medium"
"T15360,Blocked - Reports Unavailable,Medium"
"T18854,In Progress,Medium"
"T13833,Blocked,Medium"
"T13834,Blocked,Medium"
"T18856,Failed,Medium"
"T13836,Blocked,Medium"
"T13846,Blocked,Medium"
"T13868,Blocked,Medium"
"T13859,Blocked,Medium"
"T13847,Blocked,Medium"
"T13840,Blocked,Medium"
"T13853,Blocked,Medium"
"T13968,Blocked,Medium"
"T13841,Blocked,Medium"
"T13848,Blocked,Medium"
"T13854,Blocked,Medium"
"T13865,Blocked,Medium"
"T13844,Blocked,Medium"
"T13851,Blocked,Medium"
"T13857,Blocked,Medium"
"T13852,Blocked,Medium"
"T13866,Blocked,Medium"
"T13845,Blocked,Medium"
"T13858,Blocked,Medium"
"T14942,Blocked,Medium"
"T14944,Failed,Medium"
"T14947,Blocked,Medium"
"T14950,Retest,Medium"
"T14951,Failed,Medium"
"T14952,Blocked,Medium"
"T14953,Blocked,Medium"
"T14955,Blocked,Medium"
"T14956,Blocked,Medium"
"T16218,Failed,Medium"
"T18373,Failed,Medium"
"T18857,Failed,Medium"
"T18877,In Progress,Medium"
"T16179,In Progress,Medium"
"T16180,In Progress,Medium"
"T16185,Retest,Medium"
"T16186,Failed,Medium"
"T16191,Blocked,Medium"
"T16192,Blocked,Medium"
"T16193,Blocked,Medium"
"T16194,Blocked,Medium"
"T16201,Blocked,Medium"
"T16207,Blocked,Medium"
"T18871,Blocked,Medium"
"T18873,Blocked,Medium"
"T15363,Deferred,Medium"
"T15365,Failed,Medium"
"T16217,In Progress,Medium"
"T14976,Retest,Medium"
"T15659,Retest,Medium"
"T15660,Retest,Medium"
"T15661,Retest,Medium"
"T15662,Retest,Medium"
"T15663,Retest,Medium"
"T15664,Retest,Medium"
"T15665,Retest,Medium"
"T15666,Retest,Medium"
"T15668,Retest,Medium"
"T15669,Retest,Medium"
"T15670,Retest,Medium"
"T15672,Failed,Medium"
"T15673,Blocked,Medium"
"T15677,Retest,Medium"
"T15678,Retest,Medium"
"T15679,Retest,Medium"
"T15683,In Progress,Medium"
"T15684,Retest,Medium"
"T15685,Retest,Medium"
"T15686,Blocked,Medium"
"T15691,Failed,Medium"
"T15693,Retest,Medium"
"T15695,Retest,Medium"
"T15696,Retest,Medium"
"T15697,Retest,Medium"
"T15704,Blocked - Reports Unavailable,Medium"
"T15714,Failed,Medium"
"T15717,Retest,Medium"
"T15718,Failed,Medium"
"T18901,In Progress,Medium"
"T15372,Blocked - Reports Unavailable,Medium"
"T18855,Blocked,Medium"
"T16540,Blocked,Medium"
"T16541,Blocked,Medium"
"T16542,Blocked,Medium"
"T16543,Blocked,Medium"
"T16544,Blocked,Medium"
"T16545,Blocked,Medium"
"T16546,Blocked,Medium"
"T16547,Blocked,Medium"
"T18886,Untested,Medium"
"T18887,Untested,Medium"
"T18888,Untested,Medium"
"T18889,Untested,Medium"
"T18890,Untested,Medium"
"T18891,Untested,Medium"
"T18892,Untested,Medium"
"T18893,Untested,Medium"
"T18894,Untested,Medium"
"T18895,Untested,Medium"
"T18896,Untested,Medium"
"T18897,Untested,Medium"
"T18898,Untested,Medium"
"T18899,Untested,Medium"
